"Name","Kind","Refs","DefFiles","FirstFile","FirstLine","AnyPartial"
"GodotImageGeometry","class","3","App\RuntimeUi\GodotImageGeometry.cs","App\RuntimeUi\GodotImageGeometry.cs","17","False"
"GpuPushConstants","struct","3","Module\Compute\VisionGpuBuffers.cs","Module\Compute\VisionGpuBuffers.cs","50","False"
"GridPlacementSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","874","False"
"GroundItemLocation","record","3","Module\AutoTestModule.cs","Module\AutoTestModule.cs","1607","False"
"HealthConditionStateSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","667","False"
"IBlocksSightProvider","interface","3","MiniRPG.Shared\Core\World\VisibilityUtil.cs","MiniRPG.Shared\Core\World\VisibilityUtil.cs","110","False"
"IChunkSimulator","interface","3","MiniRPG.Shared\Core\World\IChunkSimulator.cs","MiniRPG.Shared\Core\World\IChunkSimulator.cs","7","False"
"IFocusableListPanel","interface","3","Module\Panel\IPanel.cs","Module\Panel\IPanel.cs","11","False"
"IncidentRecordSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","239","False"
"InteractionReservationSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","371","False"
"ItemCorpseSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","823","False"
"ItemSurgerySnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","808","False"
"KinshipModule","class","3","MiniRPG.Shared\Core\Demographics\KinshipModule.cs","MiniRPG.Shared\Core\Demographics\KinshipModule.cs","16","False"
"LimbPreset","class","3","MiniRPG.Shared\Core\Data\PresetDB.cs","MiniRPG.Shared\Core\Data\PresetDB.cs","32","False"
"LobbyHttpException","class","3","MiniRPG.Shared\Module\Network\LobbyHttpClient.cs","MiniRPG.Shared\Module\Network\LobbyHttpClient.cs","128","False"
"MainInputCoordinator","class","3","App\RuntimeUi\MainInputCoordinator.cs","App\RuntimeUi\MainInputCoordinator.cs","8","False"
"ModeTransitionMessage","record","3","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","474","False"
"MultiplayerReconnectTicketDto","class","3","MiniRPG.Shared\Core\Config\AppSettingsStore.cs","MiniRPG.Shared\Core\Config\AppSettingsStore.cs","418","False"
"MultiplayerSessionConnectRequest","class","3","MiniRPG.Shared\Module\Session\MultiplayerSessionBackend.cs","MiniRPG.Shared\Module\Session\MultiplayerSessionBackend.cs","11","False"
"MultiplayerSnapshotRoomCreateRequest","class","3","App\RuntimeUi\MultiplayerFlowCoordinator.cs","App\RuntimeUi\MultiplayerFlowCoordinator.cs","52","False"
"MultiplayerTelemetryStore","class","3","MiniRPG.Shared\Core\Multiplayer\MultiplayerTelemetryStore.cs","MiniRPG.Shared\Core\Multiplayer\MultiplayerTelemetryStore.cs","7","False"
"MusicComposer","class","3","MiniRPG.Shared\Core\Music\MusicComposer.cs","MiniRPG.Shared\Core\Music\MusicComposer.cs","6","False"
"MusicCoordinator","class","3","Module\Audio\MusicCoordinator.cs","Module\Audio\MusicCoordinator.cs","9","True"
"MusicRenderer","class","3","Module\Audio\MusicRenderer.cs","Module\Audio\MusicRenderer.cs","8","True"
"NeedStateSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","634","False"
"NullSimulator","class","3","MiniRPG.Shared\Core\World\IChunkSimulator.cs","MiniRPG.Shared\Core\World\IChunkSimulator.cs","14","False"
"OutputTargetStrategy","enum","3","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","49","False"
"PanelFocusCapture","class","3","Module\Panel\PanelFocusCapture.cs","Module\Panel\PanelFocusCapture.cs","17","False"
"PendingIncidentSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","227","False"
"PendingPreparedLoad","class","3","App\RuntimeUi\MainAppFlowCoordinator.cs","App\RuntimeUi\MainAppFlowCoordinator.cs","1077","False"
"PerlinGenerationConfig","class","3","MiniRPG.Shared\Core\Config\GameConfig.cs","MiniRPG.Shared\Core\Config\GameConfig.cs","483","False"
"PersonalityAxisDef","class","3","MiniRPG.Shared\Core\AI\Utility\PersonalityModule.cs","MiniRPG.Shared\Core\AI\Utility\PersonalityModule.cs","111","False"
"ProfessionPreset","class","3","MiniRPG.Shared\Core\Data\PresetDB.cs","MiniRPG.Shared\Core\Data\PresetDB.cs","52","False"
"ProtocolDefaults","class","3","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","128","False"
"PzDecorPoolEntry","class","3","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","142","False"
"PzItemWorldRenderCompatDocument","class","3","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","176","False"
"PzTerrainVisualEntry","class","3","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","40","False"
"RacePreset","class","3","MiniRPG.Shared\Core\Data\PresetDB.cs","MiniRPG.Shared\Core\Data\PresetDB.cs","16","False"
"RelationEntrySnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","191","False"
"ResourceCatalogEditor","class","3","App\ResourceCatalogEditor.cs","App\ResourceCatalogEditor.cs","11","True"
"RevivalCapacityPenaltyConfig","class","3","MiniRPG.Shared\Core\Revival\RevivalCostModel.cs","MiniRPG.Shared\Core\Revival\RevivalCostModel.cs","299","False"
"RevivalMoodScarConfig","class","3","MiniRPG.Shared\Core\Revival\RevivalCostModel.cs","MiniRPG.Shared\Core\Revival\RevivalCostModel.cs","277","False"
"RoomActorCatalog","class","3","MiniRPG.Shared\Core\Multiplayer\RoomActorCatalog.cs","MiniRPG.Shared\Core\Multiplayer\RoomActorCatalog.cs","9","False"
"RoomCorridorGenerationConfig","class","3","MiniRPG.Shared\Core\Config\GameConfig.cs","MiniRPG.Shared\Core\Config\GameConfig.cs","507","False"
"RoomPlayerStateSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","338","False"
"SaveBrowserModule","class","3","Module\SaveBrowserModule.cs","Module\SaveBrowserModule.cs","8","False"
"SettingsFlowModalInputAdapter","class","3","App\RuntimeUi\SettingsFlowModalInputAdapter.cs","App\RuntimeUi\SettingsFlowModalInputAdapter.cs","8","False"
"ShadowcastFOV","class","3","MiniRPG.Shared\Core\World\ShadowcastFOV.cs","MiniRPG.Shared\Core\World\ShadowcastFOV.cs","10","False"
"SingleLayerViewMode","class","3","MiniRPG.Shared\Module\Render\ViewModes.cs","MiniRPG.Shared\Module\Render\ViewModes.cs","10","False"
"SpanHelpers","class","3","MiniRPG.Shared\Vendor\ENet\plugins\Helpers\SpanHelpers.cs","MiniRPG.Shared\Vendor\ENet\plugins\Helpers\SpanHelpers.cs","9","False"
"StepProfilingStats","struct","3","MiniRPG.Shared\Core\Combat\TimelineTurnManager.cs","MiniRPG.Shared\Core\Combat\TimelineTurnManager.cs","278","False"
"StingerBank","class","3","MiniRPG.Shared\Core\Music\StingerBank.cs","MiniRPG.Shared\Core\Music\StingerBank.cs","31","False"
"StingerPlayer","class","3","Module\Audio\StingerPlayer.cs","Module\Audio\StingerPlayer.cs","8","True"
"StockpilePriority","enum","3","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","65","False"
"SynthEngine","class","3","Module\Audio\SynthEngine.cs","Module\Audio\SynthEngine.cs","6","True"
"ThoughtStateSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","652","False"
"TimelineActorSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","434","False"
"TimelineSnapshotCache","class","3","MiniRPG.Shared\Core\AI\AIVisionBatch.cs","MiniRPG.Shared\Core\AI\AIVisionBatch.cs","9","False"
"TurnTickResult","class","3","MiniRPG.Shared\Core\AI\AIProfiling.cs","MiniRPG.Shared\Core\AI\AIProfiling.cs","32","False"
